,시장/마트 이름,주소명
0,롯데마트 서울역점,한강대로 405
1,이마트 신도림점,새말로 97
2,광장시장,창경궁로 88
3,통인시장,자하문로15길 18
4,롯데백화점,남대문로 81
5,신세계백화점,소공로 63
6,이마트 청계점,청계천로 400
7,서울중앙시장,퇴계로85길 36
8,남대문시장,남대문시장4길 21
9,이마트 성수점,뚝섬로 379
10,이마트 왕십리점,왕십리광장로 17
11,금남시장,독서당로 303-7
12,뚝도시장,성덕정15길 6-42
13,롯데마트 강변점,광나루로56길 85
14,이마트 자양점,아차산로 272
15,자양골목시장,자양로13길 59
16,노룬산골목시장,뚝섬로 491
17,홈플러스 동대문점,천호대로 133
18,경동시장,고산자로36길 3
19,청량리종합시장,고산자로36길 33
20,롯데백화점 청량리점,왕산로 214
21,우림시장,난곡로26길 4
22,이마트 상봉점,상봉로 118
23,동원시장,면목로74길 45
24,홈플러스 면목점,사가정로 332
25,숭인시장,도봉로 45
26,하나로클럽 미아점,도봉로33길 18
27,수유재래시장,도봉로71길 2
28,롯데백화점 미아점,도봉로 62
29,방학동도깨비시장,도당로13길 11
30,이마트 창동점,노해로65길 4
31,신창시장,덕릉로57길 30
32,홈플러스 방학점,도봉로 678
33,롯데백화점 노원점,동일로 1414
34,홈플러스 중계점,동일로204가길 12
35,공릉동 도깨비시장,동일로180길 53
36,상계중앙시장,상계로23가길 24
37,대조시장,불광로 11-1
38,NC백화점 불광점,불광로 20
39,이마트 은평점,은평로 111
40,대림시장,응암로4길 26
41,롯데슈퍼,거북골로 120
42,인왕시장,통일로40안길 13-5
43,영천시장,통일로 189-1
44,현대백화점 신촌점,신촌로 83
45,농협하나로마트 신촌점,신촌로 66
46,망원시장,포은로8길 14
47,홈플러스 월드컵점,월드컵로 240
48,마포농수산물시장,월드컵로 235
49,이마트 목동점,오목로 299
50,신영시장,월정로 161-5
51,목3동시장,목동중앙북로 29
52,홈플러스 목동점,목동서로 170
53,이마트 가양점,양천로 559
54,송화시장,강서로 263-29
55,홈플러스 등촌점,공항대로41길 56
56,화곡본동시장,까치산로 35
57,고척근린시장,고척로32길 11-3
58,남구로시장,구로동로26길 54
59,NC백화점 신구로점,구로중앙로 152
60,현대시장,독산로41길 7
61,남문시장,시흥대로114길 26
62,홈플러스 독산점,시흥대로 391
63,홈플러스 시흥점,시흥대로 201
64,롯데백화점 영등포점,경인로 846
65,이마트 이수점,사당로 300
66,남성시장,동작대로29길 8
67,관악신사시장(신림4동),신사로14길 58
68,세이브 마트,난곡로 220
69,신원시장(신림1동),신원로5길 19
70,롯데백화점 관악점,봉천로 209
71,원당종합시장,남부순환로248길 35
72,신세계백화점 강남점,신반포로 176
73,방배종합시장,방배천로16길 18
74,뉴코아아울렛 강남점,잠원로 51
75,하나로클럽 양재점,청계산로 10
76,청담삼익시장,학동로101길 26
77,이마트 역삼점,역삼로 310
78,롯데백화점 강남점,도곡로 401
79,도곡시장,선릉로69길 19
80,마천중앙시장,마천로45길 23
81,방이시장,백제고분로48길 41
82,롯데백화점 잠실점,올림픽로 240
83,홈플러스 잠실점,올림픽로35가길 16
84,둔촌역전통시장,풍성로58길 34
85,이마트 명일점,고덕로 276
86,홈플러스 강동점,양재대로 1571
87,암사종합시장,상암로11길 25
88,농협 하나로마트 용산점,청파로 122
89,후암시장,후암로35길 24
90,이마트 용산점,한강대로23길 55
91,용문시장,효창원로42길 38-14
92,돈암제일시장,동소문로18길 23
93,이마트 미아점,도봉로 17
94,현대백화점 미아점,동소문로 315
95,장위골목시장,장위로38길 67
96,이마트 여의도점,여의동로3길 10
97,홈플러스 영등포점,당산로 42
98,영등포전통시장,영등포로45길 20
99,대림중앙시장,디지털로37나길 21
