,Unnamed: 0,시장/마트 이름,품목 이름,실판매규격,가격(원)
0,0,롯데마트 서울역점,사과,1개,1900
1,1,롯데마트 서울역점,배,1개,3760
2,2,롯데마트 서울역점,배추,1통,4500
3,3,롯데마트 서울역점,무,1개,2800
4,4,롯데마트 서울역점,양파,1망(1.5kg),3490
5,5,롯데마트 서울역점,상추,100g,920
6,6,롯데마트 서울역점,오이,1개,1330
7,7,롯데마트 서울역점,호박,1개,1790
8,8,롯데마트 서울역점,쇠고기,1근,36500
9,9,롯데마트 서울역점,돼지고기,1근,16280
10,10,롯데마트 서울역점,닭고기,1마리,7480
11,11,롯데마트 서울역점,달걀,10개,4200
13,13,롯데마트 서울역점,조기,1마리,3980
14,14,롯데마트 서울역점,명태,1마리,4900
15,15,롯데마트 서울역점,오징어,1마리,5800
16,16,롯데마트 서울역점,고등어,1마리,3300
25,25,이마트 신도림점,애호박,600g,42000
153,153,이마트 신도림점,쌀,1포대(10kg),43900
460,460,경동시장,,1개(300g),1250
1015,1015,신영시장,동태,1마리,3000
