,시장/마트 이름,거리(km)
57,고척근린시장,1.1927475130960774
59,NC백화점 신구로점,2.030469500443805
49,이마트 목동점,2.1883159395625325
1,이마트 신도림점,2.5519808224384137
52,홈플러스 목동점,2.7148181008963537
58,남구로시장,2.9855919676968656
97,홈플러스 영등포점,3.2643080384628855
50,신영시장,3.5860141978847238
99,대림중앙시장,3.852217205324853
64,롯데백화점 영등포점,4.182276867678764
56,화곡본동시장,4.189479690683172
98,영등포전통시장,4.415070366324797
51,목3동시장,4.53036952144977
54,송화시장,5.178091198525901
62,홈플러스 독산점,5.361859018335597
67,관악신사시장(신림4동),5.457951552907036
61,남문시장,5.580602196407131
53,이마트 가양점,5.608492133565119
96,이마트 여의도점,5.751384703506884
70,롯데백화점 관악점,5.935918328635031
55,홈플러스 등촌점,5.977532052123629
68,세이브 마트,6.238680020830109
69,신원시장(신림1동),6.513540300874453
60,현대시장,6.542928253524532
46,망원시장,6.658395253031929
21,우림시장,6.676212067464999
63,홈플러스 시흥점,7.121178793064305
48,마포농수산물시장,7.179084513094984
47,홈플러스 월드컵점,7.440216474937348
45,농협하나로마트 신촌점,8.303436138765138
44,현대백화점 신촌점,8.489482318379565
41,롯데슈퍼,8.946797182414798
91,용문시장,9.261470048870743
90,이마트 용산점,9.444835327577229
88,농협 하나로마트 용산점,9.548978586074659
71,원당종합시장,9.94527876012766
40,대림시장,10.126004146780547
65,이마트 이수점,10.813018958655213
66,남성시장,10.83031161217518
0,롯데마트 서울역점,11.05512077037178
89,후암시장,11.173284614685741
73,방배종합시장,11.19621009438956
43,영천시장,11.271556198202907
39,이마트 은평점,11.590153348937138
8,남대문시장,11.745076296596416
42,인왕시장,11.75182224052351
5,신세계백화점,12.09491760569129
4,롯데백화점,12.364192029562389
72,신세계백화점 강남점,12.453964290992236
3,통인시장,12.555624784889744
37,대조시장,12.76452679088147
38,NC백화점 불광점,12.810902086116236
74,뉴코아아울렛 강남점,12.890609256088664
2,광장시장,14.034855069438409
11,금남시장,14.935110695693547
7,서울중앙시장,15.464523726089729
6,이마트 청계점,15.76560640295013
92,돈암제일시장,16.514392020265955
77,이마트 역삼점,16.53276463506986
10,이마트 왕십리점,16.716717274219963
79,도곡시장,16.740260207003924
75,하나로클럽 양재점,16.82319524314121
78,롯데백화점 강남점,16.974610330487113
17,홈플러스 동대문점,17.31931783375825
9,이마트 성수점,17.321903448759432
12,뚝도시장,17.35126034251812
76,청담삼익시장,17.391248237883357
18,경동시장,17.56827074165814
19,청량리종합시장,17.675841739620857
16,노룬산골목시장,18.234756389615423
94,현대백화점 미아점,18.52196574797724
93,이마트 미아점,18.766328278244146
20,롯데백화점 청량리점,18.77108367027389
25,숭인시장,18.894008293175812
14,이마트 자양점,18.98007135735597
28,롯데백화점 미아점,19.067576281584554
26,하나로클럽 미아점,19.290881968462983
15,자양골목시장,19.64175408562196
27,수유재래시장,19.84946904567624
95,장위골목시장,20.282629581567715
82,롯데백화점 잠실점,20.89364379056956
13,롯데마트 강변점,20.903082078538077
24,홈플러스 면목점,20.969147344504563
83,홈플러스 잠실점,21.33921178348576
31,신창시장,21.37044204438571
23,동원시장,22.12221913733449
81,방이시장,22.60361573576883
22,이마트 상봉점,22.73021298437311
30,이마트 창동점,22.86592253494342
35,공릉동 도깨비시장,22.92954980570679
29,방학동도깨비시장,23.28439842299929
34,홈플러스 중계점,23.44602786474174
32,홈플러스 방학점,23.731081766742466
87,암사종합시장,24.071643140547753
33,롯데백화점 노원점,24.08194170864432
84,둔촌역전통시장,24.251631679547376
36,상계중앙시장,24.941430889716457
86,홈플러스 강동점,25.132188457230697
80,마천중앙시장,25.550449279282976
85,이마트 명일점,26.471529559855437
